Timestamp,Open,High,Low,Close,Volume,Open Interest,Heikin Ashi - Open,Heikin Ashi - High,Heikin Ashi - Low,Heikin Ashi - Close,Heikin Ashi - T Change,Heikin Ashi - T-1 Change,Heikin Ashi - T-2 Change,Heikin Ashi - T Change is Positive,Heikin Ashi - T-1 Change is Negative,Heikin Ashi - T-2 Change is Negative,Heikin Ashi - Buy Signal,Heikin Ashi - Candle Category - BEARISH,Heikin Ashi - Candle Category - BULLISH,Instrument Name
2024-08-16 00:00:00+05:30,711.0,713.0,697.0,711.0,233160,0,699.5,713.0,697.0,708.0,8.5,-8.15,-15.0,True,True,True,True,False,False,FIVESTAR
2024-08-16 00:00:00+05:30,7921.0,7979.0,7727.0,7916.0,15967,0,7788.1,7979.0,7727.0,7885.75,97.65,-155.75,-163.55,True,True,True,True,False,False,GILLETTE
2024-08-16 00:00:00+05:30,2906.0,2966.0,2829.0,2895.0,139387,0,2856.75,2966.0,2829.0,2899.0,42.25,-37.4,-13.55,True,True,True,True,False,False,GLAXO
2024-08-16 00:00:00+05:30,1117.0,1134.0,1063.0,1116.0,430359,0,1095.05,1134.0,1063.0,1107.5,12.450000000000001,-37.85,-48.900000000000006,True,True,True,True,False,False,MEDANTA
2024-08-16 00:00:00+05:30,2933.0,2951.0,2897.0,2932.0,650678,0,2912.05,2951.0,2897.0,2928.25,16.2,-34.300000000000004,-10.0,True,True,True,True,False,False,GODREJPROP
2024-08-16 00:00:00+05:30,2600.0,2608.0,2512.0,2604.0,724274,0,2543.1000000000004,2608.0,2512.0,2581.0,37.9,-48.150000000000006,-42.95,True,True,True,True,False,False,GRASIM
2024-08-16 00:00:00+05:30,2458.0,2465.0,2405.0,2450.0,17329,0,2411.75,2465.0,2405.0,2444.5,32.75,-6.9,-4.05,True,True,True,True,False,False,GRINDWELL
2024-08-16 00:00:00+05:30,3414.0,3444.0,3350.0,3413.0,114343,0,3350.05,3444.0,3350.0,3405.25,55.2,-57.95,-9.3,True,True,True,True,False,False,FLUOROCHEM
2024-08-16 00:00:00+05:30,1632.0,1634.0,1611.0,1631.0,13653030,0,1620.3000000000002,1634.0,1611.0,1627.0,6.7,-25.05,-33.300000000000004,True,True,True,True,False,False,HDFCBANK
2024-08-16 00:00:00+05:30,764.0,774.0,761.0,765.0,462965,0,761.4000000000001,774.0,761.0,766.0,4.6000000000000005,-14.25,-18.3,True,True,True,True,False,False,HAPPSTMNDS
2024-08-16 00:00:00+05:30,463.0,471.0,458.0,462.0,769724,0,463.1,471.0,458.0,463.5,0.4,-9.450000000000001,-8.700000000000001,True,True,True,True,False,False,HSCL
2024-08-16 00:00:00+05:30,381.0,382.0,373.0,381.0,7267035,0,374.85,382.0,373.0,379.25,4.4,-4.3,-9.05,True,True,True,True,False,False,HINDPETRO
2024-08-16 00:00:00+05:30,2747.0,2753.0,2710.0,2749.0,1722570,0,2735.5,2753.0,2710.0,2739.75,4.25,-14.9,-0.35000000000000003,True,True,True,True,False,False,HINDUNILVR
2024-08-16 00:00:00+05:30,51500.0,52600.0,51048.0,51800.0,6294,0,51387.25,52600.0,51048.0,51737.0,349.75,-232.25,-287.75,True,True,True,True,False,False,HONAUT
2024-08-16 00:00:00+05:30,107.0,108.0,106.0,107.0,2787287,0,106.75,108.0,106.0,107.0,0.25,-1.2000000000000002,-0.75,True,True,True,True,False,False,IDFC
2024-08-16 00:00:00+05:30,503.0,504.0,492.0,502.0,13107334,0,493.5,504.0,492.0,500.25,6.75,-0.5,-1.4500000000000002,True,True,True,True,False,False,ITC
2024-08-16 00:00:00+05:30,2751.0,2779.0,2676.0,2750.0,202976,0,2720.4500000000003,2779.0,2676.0,2739.0,18.55,-57.650000000000006,-46.550000000000004,True,True,True,True,False,False,INDIAMART
2024-08-16 00:00:00+05:30,194.0,195.0,187.0,195.0,14664480,0,189.65,195.0,187.0,192.75,3.1,-5.6000000000000005,-2.35,True,True,True,True,False,False,IEX
2024-08-16 00:00:00+05:30,622.0,625.0,611.0,622.0,1275460,0,612.1,625.0,611.0,620.0,7.9,-6.45,-1.1500000000000001,True,True,True,True,False,False,INDHOTEL
2024-08-16 00:00:00+05:30,167.0,167.0,164.0,167.0,10536223,0,166.20000000000002,167.0,164.0,166.25,0.05,-3.7,-4.0,True,True,True,True,False,False,IOC
2024-08-16 00:00:00+05:30,411.0,413.0,405.0,412.0,3989680,0,409.75,413.0,405.0,410.25,0.5,-9.200000000000001,-6.45,True,True,True,True,False,False,INDUSTOWER
2024-08-16 00:00:00+05:30,4278.0,4289.0,4200.0,4275.0,725933,0,4247.55,4289.0,4200.0,4260.5,12.950000000000001,-42.6,-19.450000000000003,True,True,True,True,False,False,INDIGO
2024-08-16 00:00:00+05:30,4246.0,4250.0,4103.0,4225.0,78607,0,4174.1,4250.0,4103.0,4206.0,31.900000000000002,-81.85000000000001,-56.1,True,True,True,True,False,False,JKCEMENT
2024-08-16 00:00:00+05:30,629.0,630.0,618.0,629.0,605371,0,626.25,630.0,618.0,626.5,0.25,-18.7,-15.8,True,True,True,True,False,False,JINDALSAW
2024-08-16 00:00:00+05:30,932.0,941.0,926.0,930.0,1069916,0,917.5500000000001,941.0,917.5552250364465,932.25,14.700000000000001,-1.8,-5.25,True,True,True,True,False,True,JINDALSTEL
2024-08-16 00:00:00+05:30,1774.0,1785.0,1746.0,1776.0,2958627,0,1759.8000000000002,1785.0,1746.0,1770.25,10.450000000000001,-15.9,-9.200000000000001,True,True,True,True,False,False,KOTAKBANK
2024-08-16 00:00:00+05:30,493.0,504.0,488.0,494.0,365398,0,484.6,504.0,484.579804429125,494.75,10.15,-7.3500000000000005,-10.450000000000001,True,True,True,True,False,False,LATENTVIEW
2024-08-16 00:00:00+05:30,430.0,433.0,426.0,430.0,3152621,0,426.15000000000003,433.0,426.0,429.75,3.6,-1.9500000000000002,-4.3500000000000005,True,True,True,True,False,False,LAURUSLABS
